"CBSA Code",Geographic area,Legal/statistical area description,Population,,Population rank1,,"Land area in square miles
25980,"Hinesville-Fort Stewart, GA",Metropolitan Statistical Area,"77,917","71,914",361,361,890.1,
26100,"Holland-Grand Haven, MI",Metropolitan Statistical Area,"263,801","238,314",174,173,563.5,
26180,"Honolulu, HI",Metropolitan Statistical Area,"953,207","876,156",53,52,600.7,
26300,"Hot Springs, AR",Metropolitan Statistical Area,"96,024","88,068",351,351,677.8,
26380,"Houma-Bayou Cane-Thibodaux, LA",Metropolitan Statistical Area,"208,178","194,477",205,195,"2,300.0",
26420,"Houston-Sugar Land-Baytown, TX",Metropolitan Statistical Area,"5,946,800","4,715,407",6,8,"8,827.5",
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,"287,702","288,649",161,151,"1,744.6",
26620,"Huntsville, AL",Metropolitan Statistical Area,"417,593","342,376",120,134,"1,361.5",
26820,"Idaho Falls, ID",Metropolitan Statistical Area,"130,374","101,677",295,335,"2,959.6",
26900,"Indianapolis-Carmel, IN",Metropolitan Statistical Area,"1,756,241","1,525,104",34,34,"3,854.5",
26980,"Iowa City, IA",Metropolitan Statistical Area,"152,586","131,676",260,270,"1,182.9",
27060,"Ithaca, NY",Metropolitan Statistical Area,"101,564","96,501",342,341,474.6,
27100,"Jackson, MI",Metropolitan Statistical Area,"160,248","158,422",247,232,701.7,
27140,"Jackson, MS",Metropolitan Statistical Area,"539,057","497,197",96,90,"3,726.1",
27180,"Jackson, TN",Metropolitan Statistical Area,"115,425","107,377",321,321,842.9,
27260,"Jacksonville, FL",Metropolitan Statistical Area,"1,345,596","1,122,750",40,45,"3,201.1",
27340,"Jacksonville, NC",Metropolitan Statistical Area,"177,772","150,355",227,245,762.7,
27500,"Janesville, WI",Metropolitan Statistical Area,"160,331","152,307",246,240,718.1,
27620,"Jefferson City, MO",Metropolitan Statistical Area,"149,807","140,052",266,261,"2,247.7",
27740,"Johnson City, TN",Metropolitan Statistical Area,"198,716","181,607",214,206,853.8,
27780,"Johnstown, PA",Metropolitan Statistical Area,"143,679","152,598",272,239,688.4,
27860,"Jonesboro, AR",Metropolitan Statistical Area,"121,026","107,762",312,319,"1,465.6",
27900,"Joplin, MO",Metropolitan Statistical Area,"175,518","157,322",230,234,"1,263.3",
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,"326,589","314,866",148,146,"1,169.1",
28100,"Kankakee-Bradley, IL",Metropolitan Statistical Area,"113,449","103,833",324,327,676.6,
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,"2,035,334","1,836,038",29,26,"7,827.3",
28420,"Kennewick-Pasco-Richland, WA",Metropolitan Statistical Area,"253,340","191,822",178,201,"2,942.6",
28660,"Killeen-Temple-Fort Hood, TX",Metropolitan Statistical Area,"405,300","330,714",127,138,"2,815.9",
28700,"Kingsport-Bristol-Bristol, TN-VA",Metropolitan Statistical Area,"309,544","298,484",151,149,"2,009.9",
28740,"Kingston, NY",Metropolitan Statistical Area,"182,493","177,749",224,210,"1,124.2",
28940,"Knoxville, TN",Metropolitan Statistical Area,"698,030","616,079",75,76,"1,856.8",
29020,"Kokomo, IN",Metropolitan Statistical Area,"98,688","101,541",344,336,553.6,
29100,"La Crosse, WI-MN",Metropolitan Statistical Area,"133,665","126,838",291,278,"1,003.7",
29140,"Lafayette, IN",Metropolitan Statistical Area,"201,789","178,541",208,209,"1,278.4",
29180,"Lafayette, LA",Metropolitan Statistical Area,"273,738","239,086",169,172,"1,006.4",
29340,"Lake Charles, LA",Metropolitan Statistical Area,"199,607","193,568",213,197,"2,348.5",
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,"200,186","155,032",211,236,"13,311.1",
