GeoFips,GeoName,LineCode,Description,2021,
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,115.162,
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),13225538,
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4053802,
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,107.724,
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),5136201,
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),62335645,
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.458,
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),76991435,
15500,"Burlington, NC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6083266,
15500,"Burlington, NC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,118.907,
15500,"Burlington, NC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7440110,
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),13102886,
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.368,
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),15669774,
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),7167546,
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,114.898,
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8554244,
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),17156501,
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,111.865,
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),20167014,
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),32191829,
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,142.01,
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),39813620,
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),3995856,
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,104.384,
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),4838122,
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5151468,
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,93.691,
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),6206570,
16180,"Carson City, NV (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),3445525,
16180,"Carson City, NV (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,111.68,
16180,"Carson City, NV (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),4225603,
16220,"Casper, WY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4818428,
16220,"Casper, WY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,90.088,
16220,"Casper, WY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),5887565,
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),16853623,
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,108.198,
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),19793178,
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5656973,
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,108.768,
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),6846649,
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),10798699,
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,104.862,
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),13219093,
16620,"Charleston, WV (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),11348602,
16620,"Charleston, WV (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,85.774,
16620,"Charleston, WV (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),13553478,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),41625511,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,128.023,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),50704392,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),167252620,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,128.603,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),207866150,
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",1,Real GDP (thousands of chained 2012 dollars),12815761,
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",2,Chain-type quantity indexes for real GDP,117.569,
